Dataset,Architecture,Epochs,LR,Momentum,Train_Acc_Mean,Train_Acc_Std,Val_Acc_Mean,Val_Acc_Std,Test_Acc_Mean,Test_Acc_Std
Gaussian 2D Wide,"[2, 8, 1]",1000,0.1,0.9,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000
Gaussian 2D Narrow,"[2, 8, 1]",1000,0.1,0.9,1.0000,0.0000,1.0000,0.0000,0.9975,0.0075
Gaussian 2D Overlap,"[2, 8, 1]",1000,0.1,0.9,0.9275,0.0112,0.9375,0.0358,0.9200,0.0312
Gaussian 3D Wide,"[3, 16, 1]",1000,0.1,0.9,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000
Gaussian 3D Narrow,"[3, 16, 1]",1000,0.1,0.9,1.0000,0.0000,0.9975,0.0075,0.9875,0.0168
Gaussian 3D Overlap,"[3, 16, 1]",1000,0.1,0.9,0.9692,0.0099,0.9525,0.0284,0.9600,0.0278
Moons 2D Wide,"[2, 16, 8, 1]",1000,0.1,0.9,0.8843,0.0091,0.8660,0.0237,0.8755,0.0127
Moons 2D Narrow,"[2, 16, 8, 1]",1000,0.1,0.9,0.8823,0.0098,0.8630,0.0225,0.8695,0.0129
Moons 2D Overlap,"[2, 16, 8, 1]",1000,0.1,0.9,0.8733,0.0119,0.8510,0.0268,0.8600,0.0126
